三包流水号,总部制造发运时间,总部审核处置时间,分公司审核提交时间,补充调查时间,分公司现场调查时间,发运时间,全周期统计时间,提出部门,客户名称,类型
MBY25-3666,1.99,0.29,0,0,,2025/11/12 16:00,2.28,浙江分公司,高新兴创联科技股份有限公司,基板
MAZ25-3605,2.27,0.85,0,0,,2025/11/7 16:00,3.12,浙江分公司,浙江杰成电梯有限公司,非基板
MBY25-3337,6.06,0.97,0,0,,2025/10/27 16:00,7.03,浙江分公司,杭州友孚机电设备有限公司,#N/A
MAZ25-3772,0.28,1,0,0.74,,2025/11/19 16:00,2.02,浙江分公司,浙江嘉菱电梯有限公司,非基板
MAZ25-3594,11.15,0.78,0.01,0,,2025/11/19 16:00,11.94,浙江分公司,绍兴巨通电梯工程有限公司,非基板
MAZ25-3614,1.01,0.1,0.59,0.18,,2025/11/6 16:00,1.88,浙江分公司,绍兴巨通电梯工程有限公司,非基板
MAZ25-3613,4,0.03,0.6,0.27,,2025/11/11 16:00,4.9,浙江分公司,浙江宝业供应链管理有限公司,非基板
MAZ25-3774,1.25,0.82,0.64,1.21,,2025/11/21 16:00,3.92,浙江分公司,浙江宝业供应链管理有限公司,基板
MAZ25-3434,4.11,0.19,0.66,0,,2025/10/29 16:00,4.96,浙江分公司,浙江三花智源房地产有限公司,#N/A
MBY25-3488,6.19,0.01,0,0,,2025/11/4 16:00,6.2,海南分公司,深圳领潮供应链管理有限公司,#N/A
MBY25-3681,0.08,2.02,0,0.95,,2025/11/13 16:00,3.05,海南分公司,深圳领潮供应链管理有限公司,非基板
MAZ25-3514,5.98,0.06,0,0.07,,2025/11/5 16:00,6.11,淄博分公司,淄博美达建设有限公司,#N/A
MBY25-3633,4.98,0.21,0.01,0,,2025/11/13 16:00,5.2,淄博分公司,淄博美达建设有限公司,基板
MBY25-3536,1.98,0.01,0.02,0,,2025/10/31 16:00,2.01,淄博分公司,无棣县弘诺城建工程有限公司,#N/A
MAZ25-3447,7.19,0,0,0,,2025/11/3 16:00,7.19,深圳分公司,深圳市建筑工务署工程管理中心,#N/A
MBY25-3494,0,0.01,0,0,,2025/10/27 16:00,0.01,深圳分公司,深圳市东园美地房地产开发有限公司,#N/A
MAZ25-3824,-0.01,0.01,0,0,,2025/11/19 16:00,0,深圳分公司,中建四局交通投资建设有限公司,非基板
MBY25-3533,0.22,0.01,0,0,,2025/10/29 16:00,0.23,深圳分公司,深圳市汇龙房地产开发有限公司,#N/A
MBY25-3542,0.24,0.01,0,0,,2025/10/30 16:00,0.25,深圳分公司,深圳市前海建设投资控股集团有限公司,#N/A
MBY25-3507,0.24,0.03,0,0,,2025/10/28 16:00,0.27,深圳分公司,深圳市聚祥和物业管理有限公司,#N/A
MBY25-3467,7.23,0.03,0,0,,2025/11/4 16:00,7.26,深圳分公司,深圳市德业基物业管理有限公司海语西,#N/A
MBY25-3465,4.22,0.04,0,0,,2025/10/30 16:00,4.26,深圳分公司,深圳市三才创展投资有限公司,#N/A
MBY25-3350,5.23,0.05,0,3.96,,2025/10/30 16:00,9.24,深圳分公司,深圳深中富电梯有限公司,#N/A
MBY25-3525,1.25,0.06,0,0.67,,2025/10/30 16:00,1.98,深圳分公司,深圳市城龙房地产开发有限公司,#N/A
MBY25-3477,2.03,0.08,0,1.19,,2025/10/30 16:00,3.3,深圳分公司,广东省深圳市盐田区东埔海景花园B区业,#N/A
MBY25-3835,1.01,0.09,0,0,,2025/11/21 16:00,1.1,深圳分公司,深圳市华通电梯实业有限公司,基板
MBY25-3740,4.01,0.09,0,0,,2025/11/20 16:00,4.1,深圳分公司,深圳市龙廷房地产开发有限公司,非基板
MBY25-3679,0.98,0.12,0,0,,2025/11/11 16:00,1.1,深圳分公司,深圳市鼎宏投资发展有限公司,非基板
MBY25-3457,2.13,0.12,0,1.71,,2025/10/29 16:00,3.96,深圳分公司,深圳市嘉德业置地有限公司,#N/A
MBY25-3486,0.08,0.13,0,0,,2025/10/27 16:00,0.21,深圳分公司,深圳市鸿荣源控股（集团）有限公司,#N/A
MAZ25-3723,2.06,0.14,0,0,,2025/11/17 16:00,2.2,深圳分公司,深圳市建工集团股份有限公司,基板
MAZ25-3344,7.13,0.16,0,0,,2025/10/28 16:00,7.29,深圳分公司,深圳市莲花物业管理有限公司,#N/A
MBY25-3751,3.11,0.17,0,0,,2025/11/20 16:00,3.28,深圳分公司,深圳市海诚建筑工程有限公司,非基板
MAZ25-3405,4.03,0.17,0,0,,2025/10/27 16:00,4.2,深圳分公司,深圳市华通电梯实业有限公司,#N/A
MBY25-3672,4.09,0.17,0,0,,2025/11/14 16:00,4.26,深圳分公司,深圳深汕特别合作区深投控投资发展有,非基板
MAZ25-3717,2.06,0.24,0,0,,2025/11/17 16:00,2.3,深圳分公司,深圳市万厦居业有限公司梅林一村管理,基板
